"assay","primary","colname"
"microbiota","C1","C1"
"microbiota","C2","C2"
"microbiota","C3","C3"
"microbiota","C4","C4"
"microbiota","C5","C5"
"microbiota","C6","C6"
"microbiota","C7","C7"
"microbiota","C8","C8"
"microbiota","C9","C9"
"microbiota","C10","C10"
"microbiota","C11","C11"
"microbiota","C12","C12"
"microbiota","C13","C13"
"microbiota","C14","C14"
"microbiota","C15","C15"
"microbiota","C16","C16"
"microbiota","C17","C17"
"microbiota","C18","C18"
"microbiota","C19","C19"
"microbiota","C20","C20"
"microbiota","C21","C21"
"microbiota","C22","C22"
"microbiota","C23","C23"
"microbiota","C24","C24"
"microbiota","C25","C25"
"microbiota","C26","C26"
"microbiota","C27","C27"
"microbiota","C28","C28"
"microbiota","C29","C29"
"microbiota","C30","C30"
"microbiota","C31","C31"
"microbiota","C32","C32"
"microbiota","C33","C33"
"microbiota","C34","C34"
"microbiota","C35","C35"
"microbiota","C36","C36"
"microbiota","C37","C37"
"microbiota","C38","C38"
"microbiota","C39","C39"
"microbiota","C40","C40"
"metabolites","C1","C1"
"metabolites","C2","C2"
"metabolites","C3","C3"
"metabolites","C4","C4"
"metabolites","C5","C5"
"metabolites","C6","C6"
"metabolites","C7","C7"
"metabolites","C8","C8"
"metabolites","C9","C9"
"metabolites","C10","C10"
"metabolites","C11","C11"
"metabolites","C12","C12"
"metabolites","C13","C13"
"metabolites","C14","C14"
"metabolites","C15","C15"
"metabolites","C16","C16"
"metabolites","C17","C17"
"metabolites","C18","C18"
"metabolites","C19","C19"
"metabolites","C20","C20"
"metabolites","C21","C21"
"metabolites","C22","C22"
"metabolites","C23","C23"
"metabolites","C24","C24"
"metabolites","C25","C25"
"metabolites","C26","C26"
"metabolites","C27","C27"
"metabolites","C28","C28"
"metabolites","C29","C29"
"metabolites","C30","C30"
"metabolites","C31","C31"
"metabolites","C32","C32"
"metabolites","C33","C33"
"metabolites","C34","C34"
"metabolites","C35","C35"
"metabolites","C36","C36"
"metabolites","C37","C37"
"metabolites","C38","C38"
"metabolites","C39","C39"
"metabolites","C40","C40"
"biomarkers","C1","C1"
"biomarkers","C2","C2"
"biomarkers","C3","C3"
"biomarkers","C4","C4"
"biomarkers","C5","C5"
"biomarkers","C6","C6"
"biomarkers","C7","C7"
"biomarkers","C8","C8"
"biomarkers","C9","C9"
"biomarkers","C10","C10"
"biomarkers","C11","C11"
"biomarkers","C12","C12"
"biomarkers","C13","C13"
"biomarkers","C14","C14"
"biomarkers","C15","C15"
"biomarkers","C16","C16"
"biomarkers","C17","C17"
"biomarkers","C18","C18"
"biomarkers","C19","C19"
"biomarkers","C20","C20"
"biomarkers","C21","C21"
"biomarkers","C22","C22"
"biomarkers","C23","C23"
"biomarkers","C24","C24"
"biomarkers","C25","C25"
"biomarkers","C26","C26"
"biomarkers","C27","C27"
"biomarkers","C28","C28"
"biomarkers","C29","C29"
"biomarkers","C30","C30"
"biomarkers","C31","C31"
"biomarkers","C32","C32"
"biomarkers","C33","C33"
"biomarkers","C34","C34"
"biomarkers","C35","C35"
"biomarkers","C36","C36"
"biomarkers","C37","C37"
"biomarkers","C38","C38"
"biomarkers","C39","C39"
"biomarkers","C40","C40"
