"Phylum","Family","Genus"
"Actinobacteria","Actinobacteria","Actinomycetaceae"
"Firmicutes","Bacilli","Aerococcus"
"Proteobacteria","Proteobacteria","Aeromonas"
"Verrucomicrobia","Verrucomicrobia","Akkermansia"
"Proteobacteria","Proteobacteria","Alcaligenes faecalis et rel."
"Bacteroidetes","Bacteroidetes","Allistipes et rel."
"Proteobacteria","Proteobacteria","Anaerobiospirillum"
"Firmicutes","Clostridium cluster XV","Anaerofustis"
"Firmicutes","Clostridium cluster XIVa","Anaerostipes caccae et rel."
"Firmicutes","Clostridium cluster IV","Anaerotruncus colihominis et rel."
"Firmicutes","Clostridium cluster XI","Anaerovorax odorimutans et rel."
"Firmicutes","Bacilli","Aneurinibacillus"
"Proteobacteria","Proteobacteria","Aquabacterium"
"Firmicutes","Asteroleplasma","Asteroleplasma et rel."
"Actinobacteria","Actinobacteria","Atopobium"
"Firmicutes","Bacilli","Bacillus"
"Bacteroidetes","Bacteroidetes","Bacteroides fragilis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides intestinalis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides ovatus et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides plebeius et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides splachnicus et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides stercoris et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides uniformis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides vulgatus et rel."
"Actinobacteria","Actinobacteria","Bifidobacterium"
"Proteobacteria","Proteobacteria","Bilophila et rel."
"Spirochaetes","Spirochaetes","Brachyspira"
"Firmicutes","Clostridium cluster XIVa","Bryantella formatexigens et rel."
"Firmicutes","Clostridium cluster XVI","Bulleidia moorei et rel."
"Proteobacteria","Proteobacteria","Burkholderia"
"Firmicutes","Clostridium cluster XIVa","Butyrivibrio crossotus et rel."
"Proteobacteria","Proteobacteria","Campylobacter"
"Firmicutes","Clostridium cluster XVII","Catenibacterium mitsuokai et rel."
"Firmicutes","Clostridium cluster I","Clostridium (sensu stricto)"
"Firmicutes","Clostridium cluster IV","Clostridium cellulosi et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium colinum et rel."
"Firmicutes","Clostridium cluster XI","Clostridium difficile et rel."
"Firmicutes","Clostridium cluster XI","Clostridium felsineum et rel."
"Firmicutes","Clostridium cluster IV","Clostridium leptum et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium nexile et rel."
"Firmicutes","Clostridium cluster IV","Clostridium orbiscindens et rel."
